,user,text,favorite_count,created_at
0,data2bots,@TheOyinbooke Very good advice,1,2023-06-08 08:06:21+00:00
1,data2bots,@likedbyJ A meme that could describe your experience https://t.co/yU0SiSapnN,0,2023-06-07 09:40:32+00:00
2,data2bots,5. Tell us other things you’d like to see from us in the comments. 👇,1,2023-06-06 07:55:10+00:00
3,data2bots,4. Do you follow us on any other social platforms?,1,2023-06-06 07:55:09+00:00
4,data2bots,What type of content would you like to see more?,1,2023-06-06 07:55:08+00:00
5,data2bots,2. What type of content do you prefer the most?,1,2023-06-06 07:55:06+00:00
6,data2bots,"In our bid to serve you better as our audience, kindly give us your feedback on our content so far.

1. Rate our content 1-10 based on relevance to you",1,2023-06-06 07:55:05+00:00
7,data2bots,@DavidAbu_ The power of Data,0,2023-06-06 07:45:54+00:00
8,data2bots,"If you're an absolute newbie, then the beginner's module is your best choice. 
If you already have enough experience working with SQL and Python, then the Intermediate module will be a great fit for you.

Register for your preferred module via https://t.co/9vfZeaHjqn 

#data2bots https://t.co/9E00Siszfp",0,2023-06-05 09:24:47+00:00
9,data2bots,"You can now begin your data career journey by signing up for the module that suits you best in the Data2Bots Academy.

If you're an absolute newbie, then the beginner's module is your best choice. https://t.co/kxCkDSBoHN",3,2023-06-05 08:00:02+00:00
10,data2bots,"Are you an enthusiast in the world of data? 

Join us on our Data2Bots Academy 
Community! We share ideas and opinions in the data space.

Join with this link: https://t.co/DQkW99J2fp

#data2botscommunity #whatsapp #techcommunnity #dataprofessionals #data2botsacademy https://t.co/CkaN3LRDHo",1,2023-06-02 07:57:58+00:00
11,data2bots,@malcom_okonkwo You are doing well,0,2023-06-01 08:18:27+00:00
12,data2bots,"Welcome to June. It's the 6th Month of the year already! 

Here's to making more impact in the professional spheres of your lives. 

It's never too late to start your data engineering career. Visit https://t.co/Jem1LBI7SN and register today, before the launch of the next cohort. https://t.co/seoWtiQOm5",1,2023-06-01 08:00:00+00:00
13,data2bots,"Visit https://t.co/9vfZeaHjqn to enroll today. Limited seats available.

#dataengineer #data2botsacademy #dataengineering #engineeringschool #learnpython #sqldatabase #bigdata #datascience",0,2023-05-31 08:06:49+00:00
